trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,60.967513360024896,61.16947062802501,61.49780456200824,61.70103862701217,0.2020113286562264,0.5020113286562264,d,0,0.6413994939939585,61.652697666024324,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,62.3176018850063,62.51768490302493,62.833989286009455,63.03432943500229,0.20497737367986701,0.5049773736798671,d,0,0.4784115169895813,63.000992818007944,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,63.500842994020786,63.70111777802231,64.01723179701366,64.2176465060038,0.20471155663835816,0.5047115566383582,s,0,0.8095388479996473,64.18434464500751,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,65.0172516630264,65.21802076502354,65.53409958002158,65.73638277401915,0.20263212764984928,0.5026321276498493,d,0,0.677959013992222,65.70129396702396,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,66.4006684400083,66.60126865102211,66.91760465601692,67.1180119360215,0.20256514867651276,0.5025651486765128,d,0,0.5117772270168643,67.08467121902504,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,67.61770620601601,67.8180376010132,68.13421449900488,68.33635933100595,0.20436847765813582,0.5043684776581359,s,0,0.5194572329928633,68.30131557400455,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,68.8505807449983,69.05129438600852,69.36762254801579,69.56794407902635,0.19935146064381115,0.49935146064381114,d,0,0.7191097940085456,69.53462452199892,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,70.28413579502376,70.48640251302277,70.80096207500901,71.0014631760132,0.1998125386890024,0.4998125386890024,s,0,0.4943333670089487,70.9679981150257,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,71.48444313800428,71.68475571702584,72.00096542501706,72.20318188500823,0.2056683796690777,0.5056683796690777,s,0,0.8300396759877913,72.1697714960028,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,73.01740077801514,73.21794800000498,73.53408234502422,73.73465535001014,0.20271710364613682,0.5027171036461369,d,0,0.39802858399343677,73.70136212700163,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,74.11766321602045,74.31972598400898,74.6480938080058,74.85143354401225,0.2019818526750896,0.5019818526750897,s,0,0.5100515340163838,74.80294744702405,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,75.3344087790174,75.53469674900407,75.85099823802011,76.0514236340241,0.20086293068015948,0.5008629306801595,d,0,0.5633456310024485,76.017982424004,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,76.601171265007,76.8014802650141,77.11764423100976,77.31806095701177,0.2071044196782168,0.5071044196782168,s,0,0.977857577992836,77.28470327600371,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,78.28453392101801,78.48480561701581,78.80084967802395,79.00145440601045,0.2032569106668234,0.5032569106668234,s,0,0.6887362379929982,78.9681485890178,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,79.68416389601771,79.88471410100465,80.20100802200614,80.4013590090035,0.19954791269265115,0.49954791269265114,d,0,0.38435344299068674,80.36799460102338,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
