X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,1,3.870105,,,,,,,,,,,,,,0,,,,,,,,,,,,0,2,2,2,1
,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,j,0,2.20728,,,,,,,,,,,,,,0,,,,,,,,,,,,0,3,3,3,1
,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,j,1,7.949275,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,4,0,1
,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,0,2.2976,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,5,1,1
,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,1,7.868005,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,6,2,1
,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,1,16.913565,,,,,,,,,,,,,,1,,,,,,,,,,,,1,3,7,3,1
,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,1,6.060575,,,,,,,,,,,,,,1,,,,,,,,,,,,2,0,8,3,1
,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,j,1,2.89589,,,,,,,,,,,,,,0,,,,,,,,,,,,2,1,9,1,1
,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,j,1,7.627905,,,,,,,,,,,,,,0,,,,,,,,,,,,2,2,10,0,1
,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,f,1,1.510415,,,,,,,,,,,,,,0,,,,,,,,,,,,2,3,11,2,1
