X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,f,1,2.331115,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,j,1,3.507395,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,1.65474,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,1.434445,,,,,,,,,,,,,,,,,,,,,,,1,0,4,0,1,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,j,1,3.63249,,,,,,,,,,,,,,,,,,,,,,,1,1,5,3,1,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,j,0,4.21284,,,,,,,,,,,,,,,,,,,,,,,1,2,6,1,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,1.647335,,,,,,,,,,,,,,,,,,,,,,,1,3,7,2,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,2.61573,,,,,,,,,,,,,,,,,,,,,,,2,0,8,0,1,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,2.632155,,,,,,,,,,,,,,,,,,,,,,,2,1,9,3,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,1.60312,,,,,,,,,,,,,,,,,,,,,,,2,2,10,2,1,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,2.822375,,,,,,,,,,,,,,,,,,,,,,,2,3,11,1,1,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,f,0,3.879155,,,,,,,,,,,,,,,,,,,,,,,3,0,12,3,1,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,1,,j,0,6.354785,,,,,,,,,,,,,,,,,,,,,,,3,1,13,1,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,1.84613,,,,,,,,,,,,,,,,,,,,,,,3,2,14,2,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,1.791015,,,,,,,,,,,,,,,,,,,,,,,3,3,15,0,1,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,1.77815,,,,,,,,,,,,,,,,,,,,,,,4,0,16,3,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,1.579435,,,,,,,,,,,,,,,,,,,,,,,4,1,17,2,1,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,0,3.26757,,,,,,,,,,,,,,,,,,,,,,,4,2,18,1,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,2.09707,,,,,,,,,,,,,,,,,,,,,,,4,3,19,0,1,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,2.234955,,,,,,,,,,,,,,,,,,,,,,,5,0,20,3,1,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,2.379015,,,,,,,,,,,,,,,,,,,,,,,5,1,21,1,1,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,j,1,2.774845,,,,,,,,,,,,,,,,,,,,,,,5,2,22,2,1,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,0,,f,1,1.70797,,,,,,,,,,,,,,,,,,,,,,,5,3,23,0,1,,,,,
,,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,LK,2,1,2020-11-29_15h03.04.677,global_local,2020.2.4,Win32,60,1368,912,,,,f,1,2.300625,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,0,1
