X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,fix_resp_2.rt,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,j,1,1.169,,1,2,6,2,1,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.689,,1,3,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,2.05,,2,0,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.91,,2,1,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.766,,2,2,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.183,,2,3,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.708,,3,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.227,,3,1,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.8,,3,2,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,f,1,1.815,,3,3,15,1,1,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,j,1,0.962,,4,0,16,3,1,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,1.329,,4,1,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.85,,4,2,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.8,,4,3,19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.837,,5,0,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.786,,5,1,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.852,,5,2,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.53,,5,3,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,j,1,1.62,,j,1,2.435,,1,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,0,,0,0,0,3,1,,,,,,,,,,,,,,,,,,,
,,,,,,j,1,1.116,,1,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,0,,0,1,1,2,1,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,0.683,,0,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,1,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,f,1,1.884,,1,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,0,,0,3,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,1.25,,,,,,,,,,,,,,,0,,0,0,0,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.705,,,,,,,,,,,,,,,0,,0,1,1,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,1.619,,,,,,,,,,,,,,,1,space,0,2,2,3,1,0.953,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.76,,,,,,,,,,,,,,,0,,0,3,3,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.813,,,,,,,,,,,,,,,1,space,1,0,4,1,1,0.701,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,1.004,,,,,,,,,,,,,,,0,,1,1,5,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,1.695,,,,,,,,,,,,,,,1,space,1,2,6,0,1,0.791,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,1.702,,,,,,,,,,,,,,,1,space,1,3,7,2,1,0.753,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.811,,,,,,,,,,,,,,,0,,2,0,8,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,2.016,,,,,,,,,,,,,,,0,,2,1,9,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.668,,,,,,,,,,,,,,,0,,2,2,10,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,1.165,,,,,,,,,,,,,,,0,,2,3,11,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.797,,,,,,,,,,,,,,,0,,3,0,12,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,1.076,,,,,,,,,,,,,,,0,,3,1,13,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.479,,,,,,,,,,,,,,,0,,3,2,14,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,2.19,,,,,,,,,,,,,,,0,,3,3,15,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,1.807,,,,,,,,,,,,,,,1,space,4,0,16,0,1,1.141,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.985,,,,,,,,,,,,,,,0,,4,1,17,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.792,,,,,,,,,,,,,,,0,,4,2,18,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,2.318,,,,,,,,,,,,,,,1,space,4,3,19,2,1,0.702,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.917,,,,,,,,,,,,,,,0,,5,0,20,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.867,,,,,,,,,,,,,,,0,,5,1,21,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,j,1,0.757,,,,,,,,,,,,,,,0,,5,2,22,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,1.017,,,,,,,,,,,,,,,0,,5,3,23,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,1.104,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,j,1,1.91,,,,,,,0.715,,,,,,,,,,,,,,,,0,1,1,3,1,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,2.14,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,1.416,space,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,1,0.952,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.38,,,,,,,,,,,,,,,,,,,,,,,1,0,4,2,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.783,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,1,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,1.149,,,,,,,,,,,,,,,,,,,,,,,1,2,6,1,1,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,j,1,1.851,,,,,,,0.853,,,,,,,,,,,,,,,,1,3,7,3,1,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.831,,,,,,,,,,,,,,,,,,,,,,,2,0,8,1,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,1.642,,,,,,,,,,,,,,,,,,,,,,,2,1,9,0,1,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,j,1,2.547,,,,,,,0.792,,,,,,,,,,,,,,,,2,2,10,2,1,,,,,,
