X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_5.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.451145,,16,0,16,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.35459,,17,0,17,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H5sim0.png,Stimuli/H7sim0.png,,,,j,1,0.32066,,18,0,18,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.718115,,19,0,19,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.62681,,20,0,20,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.85095,,21,0,21,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/H7sim0.png,Stimuli/H6sim0.png,,,,f,0,1.221915,space,22,0,22,0,1,0.19475,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H5sim0.png,Stimuli/H8sim0.png,,,,j,1,0.564025,,23,0,23,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.53452,,24,0,24,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,0.20374688,0,Stimuli/H5sim0.png,Stimuli/H6sim0.png,,,space,f,0,0.934755,,25,0,25,0,1,,0.10004,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.386145,,26,0,26,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,,,j,1,0.46713,,27,0,27,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,,,j,1,0.549795,,28,0,28,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,space,f,1,0.966915,,29,0,29,0,1,,0.08435,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.48387,,30,0,30,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.418245,,31,0,31,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.378,,32,0,32,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H5sim0.png,Stimuli/H8sim0.png,,,,f,0,0.31707,,33,0,33,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H8sim0.png,Stimuli/H7sim0.png,,,,f,0,1.10251,space,34,0,34,0,1,0.48337,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H7sim0.png,Stimuli/H6sim0.png,,,,f,0,0.487295,,35,0,35,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,,,,f,0,0.614855,,36,0,36,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.587025,,37,0,37,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.716455,,38,0,38,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H7sim0.png,Stimuli/H8sim0.png,,,,j,1,0.41322,,39,0,39,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.48379,,40,0,40,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H5sim0.png,Stimuli/H7sim0.png,,,,j,1,0.320865,,41,0,41,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/H5sim0.png,Stimuli/H6sim0.png,,,,f,0,0.76928,space,42,0,42,0,1,0.11923,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,,,,f,0,0.134415,,43,0,43,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,,,,f,0,0.232525,,44,0,44,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.231265,,45,0,45,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.167345,,46,0,46,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.184235,,47,0,47,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,feat_haus,Designs/instructions_haus_1234.png,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f15.png,Stimuli/f131.png,,,,f,0,1.100575,,0,0,0,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/f15.png,Stimuli/f142.png,,,,j,1,0.66691,,1,0,1,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,0.546085,,2,0,2,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/f15.png,Stimuli/f24.png,,,,f,0,0.716605,space,3,0,3,0,1,0.004445,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/f142.png,Stimuli/f142.png,,,,f,1,0.21108,,4,0,4,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,0.40117,,5,0,5,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/f142.png,Stimuli/f24.png,,,,f,0,0.252235,,6,0,6,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/f142.png,Stimuli/f131.png,,,space,f,0,0.82728,,7,0,7,0,1,,0.059035,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f142.png,Stimuli/f142.png,,,,f,1,0.56793,,8,0,8,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.49985,,9,0,9,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/f131.png,Stimuli/f142.png,,,,f,0,0.45063,,10,0,10,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.810725,,11,0,11,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f15.png,Stimuli/f15.png,,,,j,0,0.635295,,12,0,12,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,1.00091,,13,0,13,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f142.png,Stimuli/f15.png,,,,j,1,0.483835,,14,0,14,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f131.png,Stimuli/f15.png,,,,j,1,0.594995,,15,0,15,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,0.74484,,16,0,16,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f24.png,Stimuli/f15.png,,,,f,0,0.31656,,17,0,17,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.22799,,18,0,18,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/f24.png,Stimuli/f131.png,,,space,f,0,0.667105,,19,0,19,0,1,,0.13724,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f15.png,Stimuli/f142.png,,,,f,0,0.97745,,20,0,20,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/f142.png,Stimuli/f142.png,,,,j,0,0.762035,,21,0,21,0,1,,,,,,,,feat_face,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/f142.png,Stimuli/f24.png,,,,f,0,0.816425,,22,0,22,0,1,,,,,,,,feat_face,,
