X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,conf_haus,f,0,1.6654,,0,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,conf_haus,f,1,2.026775,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,conf_haus,f,1,1.579475,,1,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,conf_haus,j,1,1.445125,space,1,14,0,14,0,1,,,,,,,,1.22022
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,conf_haus,f,0,1.824185,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,conf_haus,f,0,1.52189,space,1,16,0,16,0,1,,,,,,,,1.183985
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,conf_haus,f,1,1.19449,space,0,17,0,17,0,1,,,,,,,,1.015455
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/H-8sim1.png,Stimuli/H-8sim0.png,conf_haus,j,1,1.93239,,1,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,conf_haus,j,1,1.3451,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,conf_haus,j,1,1.52263,,0,20,0,20,0,1,,,,,,,,
