X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.872,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,1.262,,1,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,f,0,1.567,,0,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.593,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,f,0,1.082,,0,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.732,,1,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,f,0,1.464,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.937,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,f,0,1.467,,0,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,j,1,0.687,,1,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.76,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,f,0,1.293,,0,20,0,20,0,1,,,,,,,,
