X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,-0.19509888,0,Stimuli/f142.png,Stimuli/f24.png,,,,f,0,3.725295,space,16,0,16,0,1,1.09565,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,-0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,j,0,1.999025,space,17,0,17,0,1,0.795305,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,1.812195,,18,0,18,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f142.png,Stimuli/f24.png,,,,j,1,1.34134,,19,0,19,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f142.png,Stimuli/f142.png,,,,j,0,1.294755,,20,0,20,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f15.png,Stimuli/f131.png,,,,j,1,1.109695,,21,0,21,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,0.77355,,22,0,22,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f24.png,Stimuli/f131.png,,,,f,0,0.7429,,23,0,23,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.898475,,24,0,24,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.762675,,25,0,25,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,0.19509888,1,Stimuli/f142.png,Stimuli/f142.png,,,,j,0,0.57207,space,26,0,26,0,1,0.12708,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f131.png,Stimuli/f24.png,,,,j,1,2.04178,,27,0,27,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f24.png,Stimuli/f15.png,,,,f,0,3.372735,,28,0,28,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f15.png,Stimuli/f24.png,,,,j,1,0.93101,,29,0,29,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,0.890485,,30,0,30,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,0.871975,,31,0,31,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f131.png,Stimuli/f142.png,,,,j,1,0.541905,,32,0,32,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f15.png,Stimuli/f24.png,,,,j,1,1.26318,,33,0,33,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f24.png,Stimuli/f142.png,,,,j,1,0.841475,,34,0,34,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f142.png,Stimuli/f142.png,,,,f,1,0.64302,,35,0,35,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f24.png,Stimuli/f142.png,,,,j,1,1.324985,,36,0,36,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,0.994475,,37,0,37,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f24.png,Stimuli/f15.png,,,,j,1,0.94324,,38,0,38,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f15.png,Stimuli/f15.png,,,,j,0,1.72391,,39,0,39,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f131.png,Stimuli/f15.png,,,,j,1,1.381035,,40,0,40,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,2.99352,,41,0,41,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f142.png,Stimuli/f142.png,,,,j,0,1.244155,,42,0,42,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,-0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,1.45598,space,43,0,43,0,1,0.29241,,,,,,feat_face,
