X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,1.65239,,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,,,,f,0,1.969475,,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,1,0.54845,,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,j,0,0.78402,,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,-0.1622271,0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,,,,f,0,0.684385,,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,0.1622271,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,,,,j,1,0.4986,,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,,,,j,1,1.16652,,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,0.581975,,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,0.91443,,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,1,0.58095,,10,0,10,0,1,,,,,,,,
