X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,0,1.00757,,33,0,33,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,0.816755,,34,0,34,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,0.10446784,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,1.667305,space,35,0,35,0,1,1.34642,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,1.33269,,36,0,36,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,1,0.870005,,37,0,37,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,f,0,0.446035,,38,0,38,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,1.90319,,39,0,39,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,f,0,1.611445,,40,0,40,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.57218,,41,0,41,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,0.718555,,42,0,42,0,1,,,,,,,conf_face,,
