X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,prac_resp.rt,prac_resp2.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,0.62744,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,3.158415,,1,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.11065,space,1,3,0,3,0,1,0.419415,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f142.png,Stimuli/f131.png,feat_face,j,1,1.408195,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f131.png,Stimuli/f15.png,feat_face,f,0,1.6716,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,0.75756,,0,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.09333,,1,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,0.71463,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f24.png,Stimuli/f131.png,feat_face,f,0,1.02363,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/f142.png,Stimuli/f15.png,feat_face,j,1,1.435505,,0,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f24.png,Stimuli/f142.png,feat_face,f,0,2.18637,,1,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,4.96085,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,1.26849,,1,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/f24.png,Stimuli/f15.png,feat_face,j,1,0.928125,,0,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,0.98204,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f142.png,Stimuli/f24.png,feat_face,j,1,1.196535,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f15.png,Stimuli/f131.png,feat_face,f,0,1.26171,space,0,17,0,17,0,1,1.286845,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/f15.png,Stimuli/f24.png,feat_face,j,1,0.42812,,0,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/f131.png,Stimuli/f24.png,feat_face,f,0,0.80505,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/f131.png,Stimuli/f142.png,feat_face,j,1,1.362065,space,1,20,0,20,0,1,1.61709,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,0.85308,space,0,21,0,21,0,1,0.735045,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,0.22033,space,0,22,0,22,0,1,1.183745,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,f,1,0.996505,,1,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,feat_face,Designs/instructions_face_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,conf_haus,f,1,1.98653,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,conf_haus,j,0,1.228185,,1,1,0,1,0,1,,,,,,,,
