X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/edmd.png,Stimuli/edmd.png,f,1,2.37826,,19,0,19,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/edmd.png,Stimuli/eomu.png,j,1,2.578835,,20,0,20,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eumu.png,Stimuli/eumu.png,f,1,2.837395,,21,0,21,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/eimd.png,Stimuli/edmd.png,f,0,2.35008,,22,0,22,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/eimd.png,Stimuli/eomu.png,j,1,1.41372,,23,0,23,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,f,0,2.64495,,0,0,0,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,f,0,2.266835,,1,0,1,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,f,0,2.20152,,2,0,2,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,j,0,4.412145,,3,0,3,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,f,1,2.03439,,4,0,4,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,2.17727,,5,0,5,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,f,0,2.12601,,6,0,6,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,1,-0.1833376,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,j,0,2.061575,,7,0,7,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,f,1,1.565185,,8,0,8,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,f,0,2.362275,,9,0,9,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,f,1,1.953175,,10,0,10,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,1,-0.1833376,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,f,0,1.483625,,11,0,11,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,f,1,1.397255,,12,0,12,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,j,0,2.925105,,13,0,13,0,1,,,,,,,conf_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,f,1,1.427835,,14,0,14,0,1,,,,,,,conf_haus,
