trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,d,0,0.7318819809588604,58.43995846097823,None,,,,,,,57.754704758990556,57.95467884099344,58.271470582985785,58.473048944957554,0.2030986087047495,0.5030986087047495,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,d,0,0.8211696269572712,59.873352354974486,None,,,,,,,59.18807671696413,59.388297659985255,59.70461657195119,59.90669861598872,0.20983000769047067,0.5098300076904707,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,s,0,0.6779997270205058,61.405152563005686,None,,,,,,,60.72153029299807,60.92164424195653,61.23816012998577,61.43871717795264,0.20291162771172822,0.5029116277117283,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,d,0,0.811206777987536,62.790245785959996,None,,,,,,,62.10477892198833,62.30625342199346,62.63363238598686,62.83827679598471,0.20035291969543323,0.5003529196954333,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,s,0,0.7658357479958795,64.30467543494888,None,,,,,,,63.62151799700223,63.82400319498265,64.13823272299487,64.33812965400284,0.20908391964621842,0.5090839196462185,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,d,0,0.8937857480486855,65.77141111699166,None,,,,,,,65.08803112397436,65.29050073598046,65.60454066598322,65.80700585799059,0.201691786700394,0.501691786700394,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,d,0,1.4661287780036218,67.37136900395853,None,,,,,,,66.68803174200002,66.88970800995594,67.21628877497278,67.42311013996368,0.2020652016508393,0.5020652016508393,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,s,0,0.5479132509790361,69.5403732379782,None,,,,,,,68.85468147497158,69.05672810797114,69.3837441119831,69.58821351296501,0.20087540068197995,0.50087540068198,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,s,0,0.45880957099143416,70.78978303895565,None,,,,,,,70.10502048500348,70.3065832569846,70.63394524296746,70.84071656694869,0.20952652767300606,0.5095265276730061,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,s,0,0.4150082310079597,71.95669719995931,None,,,,,,,71.27142672997434,71.47348675696412,71.80111035896698,72.0050845950027,0.2024083127034828,0.5024083127034829,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
16,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,d,0,0.5863928549806587,73.07162686897209,None,,,,,,,72.38811232498847,72.58834848098923,72.91727132798405,73.12195872695884,0.20286741165909916,0.5028674116590992,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
17,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,d,0,0.7600373809691519,74.37390385300387,None,,,,,,,73.68807504995493,73.88968198397197,74.2172237119521,74.4241085560061,0.19935120968148112,0.4993512096814811,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
18,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,s,0,0.9229779559536837,75.83952102297917,None,,,,,,,75.15481215395266,75.35640914097894,75.68362936296035,75.88975347694941,0.20128589071100578,0.5012858907110058,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
19,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,d,0,0.7791159710031934,77.47315926395822,None,,,,,,,76.78837074595504,76.99086712795543,77.31682808499318,77.52203319000546,0.20319637568900362,0.5031963756890037,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
20,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,s,0,0.7588548530475236,78.95697670098161,None,,,,,,,78.27187362697441,78.47158032597508,78.78821073600557,78.9897746029892,0.21120314265135676,0.5112031426513568,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
21,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,s,0,0.5112228100188076,80.42317655996885,None,,,,,,,79.73822021100204,79.9397479739855,80.26743385696318,80.47151438699802,0.20773014856968075,0.5077301485696808,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
22,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,s,0,0.6354899689904414,81.63968418596778,None,,,,,,,80.95471967896447,81.15645502699772,81.4833937859512,81.68974356097169,0.20024654566077515,0.5002465456607752,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
23,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,s,0,0.8127629270311445,82.98998348799068,None,,,,,,,82.3047257019789,82.50635055598104,82.83357973699458,83.03820328594884,0.2001086706877686,0.5001086706877687,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,83.8218957829522,None,space,2.271843307011295,83.8218957829522,None,,,,,,,s,0,0.47029125900007784,86.82344147597905,None,,,,,,,,,,,,,86.14663487899816,86.64652688096976,86.66746256995248,86.87163716298528,0.20110355329234153,0.5011035532923416,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,d,0,0.48342542501632124,88.02345682698069,None,,,,,,,,,,,,,87.32121275697136,87.52349453396164,87.85473366698716,88.05688472196925,0.21577247470850125,0.5157724747085013,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,d,0,0.5639377589686774,89.22333107196027,None,,,,,,,,,,,,,88.53983225196134,89.04668984300224,89.06742806796683,89.27164731296944,0.2119358036434278,0.5119358036434278,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,d,0,0.645761581021361,90.50668088300154,None,,,,,,,,,,,,,89.80455042998074,90.00723239599029,90.33797510300064,90.53989443095634,0.21546525263693184,0.5154652526369319,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
