trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.91724959400017,61.42417657299666,61.44560814695433,61.64853438298451,0.21038875164231285,0.5103887516423129,s,0,0.6427953829988837,61.6007078079856,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.26534292096039,62.46766837098403,62.79456635500537,62.99924961896613,0.20112401462392882,0.5011240146239289,s,0,0.452624743047636,62.95064002595609,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.45081582997227,63.94863421696937,63.94863421696937,64.15057754999725,0.1990613826783374,0.4990613826783374,d,0,0.4535112059675157,64.13237260398455,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.63381300598849,65.14059937099228,65.16201158595504,65.36565110698575,0.21215849264990538,0.5121584926499054,d,0,0.5710522629669867,65.31715360598173,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91550340899266,66.11750109697459,66.44506378198275,66.64895374898333,0.20261891069822013,0.5026189106982202,d,0,0.7190009870100766,66.60089304298162,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
16,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.34863819397287,67.54928020498483,67.86515816499013,68.06557251396589,0.2005192346405238,0.5005192346405238,s,0,0.5555573760066181,68.03245800698642,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
17,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.61522906995378,68.81591477699112,69.13211722200504,69.33460538397776,0.20060252863913774,0.5006025286391378,s,0,0.40094256500015035,69.31601271696854,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
18,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.76753217796795,69.96533778798766,70.28209603397409,70.48233288200572,0.21450722962617874,0.5145072296261788,d,0,0.1711813419824466,70.44920053699752,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
19,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.64842826698441,70.84889263397781,71.16504266200354,71.36554107296979,0.199475331697613,0.499475331697613,s,0,0.09172759699868038,71.33202777896076,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
20,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.44887143600499,71.64865387399914,71.96534312597942,72.16523398697609,0.2004171356675215,0.5004171356675216,d,0,0.08558749099029228,72.13175129296724,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
