32.6127 	EXP 	target_image1: autoDraw = False
32.6128 	EXP 	window1: recordFrameIntervals = True
32.9408 	EXP 	probe_image1: autoDraw = True
33.1442 	EXP 	probe_image1: autoDraw = False
33.5121 	EXP 	New trial (rep=0, index=12): OrderedDict([('trialNum', 12)])
33.5197 	DATA 	Keypress: s
33.5271 	EXP 	target_image1: autoDraw = False
33.5271 	EXP 	probe_image1: autoDraw = False
33.5271 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
33.5271 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
33.5271 	EXP 	target_image1: autoDraw = True
33.7133 	EXP 	window1: recordFrameIntervals = False
33.7275 	EXP 	target_image1: autoDraw = False
33.7276 	EXP 	window1: recordFrameIntervals = True
34.0437 	EXP 	probe_image1: autoDraw = True
34.2458 	EXP 	probe_image1: autoDraw = False
34.7450 	EXP 	New trial (rep=0, index=13): OrderedDict([('trialNum', 13)])
34.7528 	DATA 	Keypress: s
34.7606 	EXP 	target_image1: autoDraw = False
34.7606 	EXP 	probe_image1: autoDraw = False
34.7606 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
34.7606 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
34.7606 	EXP 	target_image1: autoDraw = True
34.9463 	EXP 	window1: recordFrameIntervals = False
34.9608 	EXP 	target_image1: autoDraw = False
34.9610 	EXP 	window1: recordFrameIntervals = True
35.2772 	EXP 	probe_image1: autoDraw = True
35.4775 	EXP 	probe_image1: autoDraw = False
36.2648 	EXP 	New trial (rep=0, index=14): OrderedDict([('trialNum', 14)])
36.2737 	DATA 	Keypress: s
36.2961 	EXP 	target_image1: autoDraw = False
36.2961 	EXP 	probe_image1: autoDraw = False
36.2961 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
36.2961 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
36.2961 	EXP 	target_image1: autoDraw = True
36.4776 	EXP 	window1: recordFrameIntervals = False
36.4962 	EXP 	window1: recordFrameIntervals = True
36.8026 	EXP 	target_image1: autoDraw = False
36.8240 	EXP 	probe_image1: autoDraw = True
37.0276 	EXP 	probe_image1: autoDraw = False
37.6786 	EXP 	New trial (rep=0, index=15): OrderedDict([('trialNum', 15)])
37.6856 	DATA 	Keypress: s
37.6939 	EXP 	target_image1: autoDraw = False
37.6939 	EXP 	probe_image1: autoDraw = False
37.6939 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
37.6939 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
37.6939 	EXP 	target_image1: autoDraw = True
37.8797 	EXP 	window1: recordFrameIntervals = False
37.8945 	EXP 	target_image1: autoDraw = False
37.8947 	EXP 	window1: recordFrameIntervals = True
38.2106 	EXP 	probe_image1: autoDraw = True
38.4111 	EXP 	probe_image1: autoDraw = False
39.0481 	EXP 	New trial (rep=0, index=16): OrderedDict([('trialNum', 16)])
39.0566 	DATA 	Keypress: d
